"Year","Fsh_pal (mt)","Fsh_tro (mt)","Fsh_art (mt)","Total Catch (mt)"
1977,0,0,0,0
1978,0.1,0,38.3,38.4
1979,0.1,0,101.2,101.3
1980,0.1,0,414,414.1
1981,0.1,0,334,334.1
1982,0.1,0,348,348.1
1983,0.1,0,1391,1391.1
1984,0.1,0,2470,2470.1
1985,0.1,0,4560,4560.1
1986,0.1,0,3925,3925.1
1987,0.1,0,3492,3492.1
1988,0.1,0,3530,3530.1
1989,1363,0,4744,6107
1990,2406,0,6155,8561
1991,5191,0,4236,9427
1992,19420,0,4700,24120
1993,13002,0,4675,17677
1994,10747,0,5630,16377
1995,7924,0,3969,11893
1996,1290,0,4442,5732
1997,4716,0,3538,8254
1998,4956.99,0,4375,9331.99
1999,3687.99,0,5786.99,9474.98
2000,3646,0,5223,8869
2001,2062,0,3592,5654
2002,2109,0,4565,6674
2003,1109,0,4742,5851
2004,2079,0,3419,5498
2005,1991,0,3278,5269
2006,2004,0,2091,4095
2007,1974,0,2090,4064
2008,0,2154,1558,3712
2009,0,2345,1681,4026
2010,0,2988,1467,4455
2011,0,2298,2189,4487
2012,0,2382,2069,4451
2013,0,2199,1575,3774
2014,0,1037,1167,2204
2015,0,1212,1391,2603
2016,0,1325,1838,3163
2017,0,1483,2125,3608
2018,0,1325,2821,4146
2019,0,1305,1754,3059
2020,0,1226,928,2154
2021,0,1609,1852,3461
2022,0,1540,1983,3523
2023,0,1411,2471,3882
