"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2014,17341.8,10771.3931349865,23912.2068650135,0.184816,0.122930333184546,0.246701666815454
2015,18110.7,11407.623172873,24813.776827127,0.19301,0.129831932933141,0.256188067066859
2016,19043.6,12135.1973458526,25952.0026541474,0.202952,0.1378394484804,0.268064551519601
2017,20212,12979.4193028097,27444.5806971903,0.215405,0.147209621129116,0.283600378870884
2018,21475.1,13892.2541391325,29057.9458608675,0.228865,0.157229100350655,0.300500899649345
2019,22284.7,14455.976657272,30113.423342728,0.237493,0.163384801780556,0.311601198219444
2020,23173.3,15165.7887426022,31180.8112573978,0.246963,0.170842702754027,0.323083297245973
2021,24133.5,15975.0127168731,32291.9872831269,0.257196,0.179301347358823,0.335090652641177
2022,24460.7,16099.4544426724,32821.9455573276,0.260683,0.181123749946753,0.340242250053247
2023,25655.8,16717.4430474246,34594.1569525754,0.273419,0.188844398106714,0.357993601893286
2024,28510.7,18312.3801999631,38709.0198000369,0.303845,0.207451227290742,0.400238772709258
