"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1977,195.749,1392.08,2422.04,3549.24,4651.51,5637.43,6449.4,7059.67,7463.66,7672.94,7709.11,7599,7371,7052.74,6669.48,6243.39,5793.15,5334.02,4878.03,4434.35,4009.65,3608.51,3233.84,2887.15,2568.93,2278.84,2015.98,1779.04,1566.46,1376.5,1207.37,1057.27,924.436,807.19,703.94,613.203,533.613,463.918,402.982,349.776,2199.06
1978,196.372,1146.97,2422.04,3549.24,4651.51,5637.43,6449.4,7059.67,7463.66,7672.94,7709.11,7599,7371,7052.74,6669.48,6243.39,5793.15,5334.02,4878.03,4434.35,4009.65,3608.51,3233.84,2887.15,2568.93,2278.84,2015.98,1779.04,1566.46,1376.5,1207.37,1057.27,924.436,807.19,703.94,613.203,533.613,463.918,402.982,349.776,2199.06
1979,198.261,1150.62,1995.57,3549.2,4651.38,5636.99,6448.38,7058.02,7461.58,7670.66,7706.78,7596.68,7368.75,7050.58,6667.45,6241.48,5791.38,5332.39,4876.54,4432.99,4008.42,3607.41,3232.85,2886.27,2568.14,2278.14,2015.36,1778.5,1565.98,1376.08,1207,1056.95,924.154,806.944,703.725,613.016,533.45,463.777,402.858,349.669,2198.39
1980,202.123,1161.69,2001.91,2924.21,4651.1,5636.11,6446.22,7054.19,7456.42,7664.8,7700.68,7590.59,7362.82,7044.9,6662.07,6236.45,5786.71,5328.09,4872.61,4429.42,4005.19,3604.5,3230.24,2883.94,2566.07,2276.3,2013.74,1777.07,1564.72,1374.97,1206.03,1056.09,923.409,806.293,703.158,612.522,533.02,463.403,402.534,349.387,2196.61
1981,209.43,1184.31,2021.11,2933.27,3831.15,5632.23,6436.92,7038.27,7435.39,7640.94,7675.78,7565.72,7338.59,7021.68,6640.1,6215.88,5767.62,5310.52,4856.54,4414.81,3991.98,3592.61,3219.59,2874.43,2557.61,2268.79,2007.09,1771.21,1559.56,1370.44,1202.05,1052.61,920.363,803.633,700.838,610.501,531.262,461.874,401.206,348.235,2189.37
1982,222.063,1227.12,2060.48,2961.46,3843.24,4640.04,6434.56,7031.51,7422.85,7624.02,7656.63,7545.96,7319.11,7002.95,6622.35,6199.26,5752.2,5296.31,4843.55,4403,3981.3,3583,3210.98,2866.74,2550.76,2262.73,2001.73,1766.47,1555.39,1366.77,1198.83,1049.79,917.901,801.484,698.964,608.868,529.841,460.639,400.133,347.303,2183.51
1983,237.422,1301.14,2134.97,3019.13,3880.13,4654.54,5300.68,7028.22,7414.83,7610.2,7638.69,7526.16,7299.04,6983.45,6603.82,6181.88,5736.07,5281.46,4829.96,4390.65,3970.13,3572.95,3201.97,2858.7,2543.61,2256.38,1996.11,1761.51,1551.02,1362.94,1195.47,1046.85,915.326,799.236,697.003,607.16,528.355,459.347,399.01,346.329,2177.39
1984,247.588,1391.1,2263.54,3127.39,3952.41,4689.05,5293.8,5751.63,7353.58,7539,7560.4,7444.64,7217.83,6904.89,6529.25,6111.99,5671.18,5221.71,4775.32,4340.97,3925.21,3532.53,3165.74,2826.36,2514.83,2230.85,1973.53,1741.58,1533.48,1347.52,1181.95,1035,904.97,790.193,689.117,600.291,522.377,454.15,394.496,342.411,2152.75
1985,259.406,1450.62,2419.79,3314.72,4090.45,4765.19,5307.54,5703.16,5966.97,7409.5,7420.95,7300.31,7073.6,6764.85,6396.02,5987,5555.13,5114.83,4677.57,4252.11,3844.86,3460.21,3100.94,2768.5,2463.35,2185.18,1933.13,1705.93,1502.08,1319.93,1157.75,1013.82,886.445,774.018,675.01,588.003,511.684,444.853,386.42,335.401,2108.68
1986,294.289,1519.76,2522.81,3541.32,4327.53,4908.13,5341.38,5635.26,5815.33,5902.94,7158.09,7031.8,6806.61,6505.49,6148.9,5754.95,5339.58,4916.29,4495.98,4087.03,3695.59,3325.88,2980.55,2661.02,2367.71,2100.35,1858.08,1639.7,1443.77,1268.69,1112.8,974.458,852.03,743.967,648.804,565.174,491.818,427.582,371.418,322.38,2026.82
1987,328.615,1724.15,2643.17,3692.59,4625.19,5197.94,5513.19,5689.05,5767.55,5775.77,5725.75,6810.37,6583.04,6285.53,5937.33,5555.22,5153.61,4744.84,4339.13,3944.43,3566.64,3209.82,2876.55,2568.16,2285.1,2027.06,1793.24,1582.49,1393.39,1224.42,1073.97,940.455,822.299,718.007,626.164,545.453,474.657,412.662,358.458,311.131,1956.09
1988,262.283,1925.27,2998.74,3869.12,4824.09,5559.46,5847.28,5884.88,5837.72,5744.12,5618.16,5463.05,6393.85,6096.34,5752.88,5379.32,4988.88,4592.6,4199.71,3817.64,3451.98,3106.63,2784.06,2485.59,2211.63,1961.88,1735.59,1531.61,1348.59,1185.05,1039.44,910.218,795.861,694.922,606.033,527.916,459.396,399.394,346.933,301.127,1893.2
1989,201.387,1536.65,3348.5,4389.42,5054.09,5796.68,6249.87,6235.41,6031.68,5806.85,5580.37,5353.62,5122.44,5913.64,5572.66,5205.6,4824.79,4440.18,4059.81,3690.3,3336.78,3002.94,2691.14,2402.63,2137.81,1896.4,1677.66,1480.49,1303.58,1145.5,1004.75,879.838,769.298,671.728,585.805,510.296,444.063,386.064,335.353,291.077,1830.01
1990,186.337,1179.76,2671.94,4898.2,5723.85,6047.27,6460.48,6574.62,6277.28,5871.05,5503.33,5176.41,4880.29,4602.85,5249.96,4896.48,4533.39,4169.26,3810.86,3463.54,3131.59,2818.23,2525.59,2254.83,2006.29,1779.74,1574.45,1389.41,1223.38,1075.03,942.939,825.711,721.972,630.404,549.767,478.903,416.744,362.314,314.723,273.17,1717.43
1991,197.87,1091.49,2050.81,3905.56,6374.1,6813.29,6669.22,6686,6481.29,5961.41,5413.35,4956.9,4576.61,4250.57,3959.55,4469.2,4131.01,3794.98,3466.42,3149.44,2847.2,2562.16,2296.07,2049.9,1823.95,1617.99,1431.36,1263.13,1112.2,977.323,857.239,750.665,656.354,573.109,499.801,435.377,378.868,329.384,286.119,248.343,1561.34
1992,220.553,1158.97,1897.22,2997.74,5085.11,7602.8,7546.31,6933.98,6596.95,6120.05,5428.19,4790.41,4292.16,3897.2,3571.87,3291.28,3680.94,3375.65,3079.82,2796.25,2527.03,2273.72,2037.48,1819,1618.49,1435.72,1270.11,1120.84,986.906,867.227,760.67,666.103,582.416,508.548,443.498,386.332,336.188,292.279,253.887,220.367,1385.46
1993,227.952,1290.79,2011.02,2762.72,3870.84,5958.45,8126.58,7358.58,6164.04,5351.62,4579.93,3821.86,3235.95,2821.21,2514.32,2273.51,2073.14,2298.98,2093.27,1898.07,1714.03,1541.64,1381.24,1233.06,1097.11,973.212,860.951,759.763,668.976,587.852,515.622,451.519,394.792,344.72,300.626,261.876,227.886,198.122,172.098,149.376,939.134
1994,213.561,1334.18,2239.95,2928.53,3566.19,4529.02,6349.29,7901.32,6547.43,5037.09,4060.65,3285.62,2638.45,2177.28,1864.73,1640.25,1468.02,1327.45,1461.62,1322.67,1192.89,1072.11,960.202,857.052,762.517,676.389,598.362,528.035,464.937,408.556,358.356,313.805,274.379,239.58,208.934,182.003,158.38,137.694,119.608,103.816,652.696
1995,207.827,1249.74,2314.12,3257.37,3765.38,4131.01,4728.68,5983.92,6763.28,5121.43,3645.74,2772.46,2155.93,1686.18,1366.43,1154.85,1005.39,892.263,801.087,876.64,789.039,708.234,633.832,565.531,503.072,446.222,394.738,348.341,306.715,269.52,236.404,207.014,181.005,158.048,137.832,120.066,104.482,90.8354,78.904,68.4863,430.577
1996,277.805,1216.34,2168.39,3368.18,4197.81,4386.23,4362.36,4537.82,5247.89,5450.99,3837.62,2585.72,1893.58,1435.68,1103.28,882.507,738.286,637.374,561.652,501.171,545.492,488.649,436.753,389.396,346.261,307.083,271.636,239.703,211.058,185.462,162.674,142.45,124.553,108.756,94.8447,82.6194,71.8959,62.5056,54.2953,47.1267,296.288
1997,498.851,1626.88,2112.98,3163.32,4358.83,4926.52,4699.75,4320.55,4237.24,4690.2,4709.49,3229.95,2132.84,1537.4,1150.8,874.968,693.56,575.685,493.606,432.352,383.744,415.707,370.819,330.189,293.392,260.099,230.04,202.985,178.723,157.048,137.751,120.625,105.47,92.0932,80.3133,69.961,60.8805,52.9289,45.9766,39.9063,250.893
1998,157.329,2921.98,2827.56,3086.24,4105.95,5150.78,5347.86,4737.49,4084.96,3726.37,3762.5,3473.68,2263.68,1454.86,1031.89,763.548,575.188,452.366,372.927,317.84,276.92,244.627,263.887,234.506,208.106,184.353,162.987,143.795,126.601,111.244,97.5745,85.4435,74.7085,65.2332,56.889,49.5561,43.124,37.4916,32.567,28.2672,177.717
1999,150.194,921.433,5076.59,4125.25,3992.49,4809.59,5490.9,5241.69,4317.71,3423.3,2800.03,2558.08,2224.72,1406.4,888.429,622.696,456.473,341.164,266.484,218.37,185.126,160.531,141.214,151.758,134.406,118.913,105.052,92.648,81.5567,71.6598,62.8528,55.0381,48.123,42.0195,36.6446,31.9212,27.778,24.1499,20.9778,18.2081,114.475
2000,207.955,879.467,1599.86,7391.94,5305.9,4606.95,4972.79,5143.83,4534.61,3437.47,2458.88,1831.96,1582.43,1336.94,831.11,518.896,360.319,262.064,194.529,151.037,123.11,103.876,89.696,78.6052,84.1892,74.3367,65.5881,57.8002,50.8618,44.6828,39.1889,34.3157,30.004,26.1984,22.8472,19.9023,17.3191,15.057,13.0792,11.3524,71.3731
2001,163.473,1217.1,1525.58,2325.45,9476.93,6087.55,4715.93,4581.35,4349.76,3549.94,2487.34,1646.46,1147.6,943.195,770.263,468.122,287.781,197.617,142.506,105.057,81.0997,65.7778,55.2609,47.5351,41.5156,44.3292,39.0341,34.3552,30.2084,26.5286,23.2632,20.3692,17.8094,15.5504,13.5613,11.8132,10.2799,8.93727,7.76333,6.73834,42.3643
2002,160.466,957.151,2113.48,2223.66,3003.6,11074.5,6467.71,4604.58,4181.85,3745.63,2888.42,1916.94,1211.3,814.992,653.241,524.146,314.49,191.452,130.442,93.4527,68.5103,52.6307,42.5048,35.5732,30.496,26.5531,28.2751,24.8362,21.8105,19.1392,16.7771,14.6877,12.8412,11.2121,9.77782,8.51743,7.4119,6.44383,5.59742,4.85839,30.5449
2003,172.93,939.482,1661.69,3078.39,2866.13,3490.79,11635.5,6210.69,4121.2,3527.13,2984.53,2180.2,1381.51,842.8,553.066,435.574,345.056,205.022,123.838,83.8254,59.7209,43.5691,33.3274,26.8131,22.3643,19.1139,16.5971,17.6298,15.4512,13.5414,11.8613,10.3802,9.07377,7.9222,6.9086,6.01801,5.23689,4.55289,3.95485,3.43269,21.5815
2004,127.59,1012.21,1630.27,2417.91,3958.83,3318.74,3663.68,11268.4,5681.26,3612.34,2979.76,2434.52,1718.83,1054.84,625.604,401.06,310.085,242.168,142.312,85.2195,57.2856,40.5801,29.4629,22.4442,17.9923,14.9596,12.7495,11.0429,11.7036,10.2365,8.95481,7.83071,6.84259,5.97323,5.20868,4.53713,3.94818,3.43249,2.98162,2.58795,16.2706
