"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","93833","67407.9815748372","120258.018425163"
"Unfished Age 1+ Biomass (mt)","143970","111187.250401786","176752.749598214"
"Unfished Recruitment (R0)","2568.71","1845.31669276603","3292.10330723397"
"2024 Spawning Biomass (mt)","28510.7","18312.3801999631","38709.0198000369"
"2024 Fraction Unfished","0.303845","0.207451227290742","0.400238772709258"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Biomass (mt) SB40\%","37533.2","26963.173030295","48103.226969705"
"SPR Resulting in SB40\%","0.472091","0.420380290213887","0.523801709786113"
"Exploitation Rate Resulting in SB40\%","0.094394","0.068480924167599","0.120307075832401"
"Yield with SPR Based On SB40\% (mt)","4024.12","3034.95165653443","5013.28834346557"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR45)","35177.2","26066.5426135437","44287.8573864563"
"SPR45","0.45","",""
"Exploitation Rate Corresponding to SPR45","0.101872","0.0790317557025609","0.124712244297439"
"Yield with SPR45 at SB SPR (mt)","4095.78","3138.94322242341","5052.61677757659"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","27236","16009.6006915124","38462.3993084876"
"SPR MSY","0.375537","0.261879472522116","0.489194527477884"
"Exploitation Rate Corresponding to SPR MSY","0.131859","0.0730400888311561","0.190677911168844"
"MSY (mt)","4212.21","3071.59719941301","5352.82280058699"
