"Quantity","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2204","2603","3163","3608","4146","3059","2154","3461","3523","3882","NA"
"1-SPR","0.533109","0.565783","0.614192","0.648025","0.684442","0.581778","0.460679","0.560138","0.549759","0.562848",NA
"Fill in F method","0.730391","0.834041","1.02815","1.1412","1.16739","0.948331","0.70408","0.931339","0.829294","0.80757",NA
"Age 1+ Biomass (mt)","46768.2","48196.7","52783.7","56319.7","59683","62579.8","66229.8","70146.6","72662","74810.2","136999"
"Spawning Biomass (mt)","17341.8","18110.7","19043.6","20212","21475.1","22284.7","23173.3","24133.5","24460.7","25655.8","28510.7"
"Lower Interval","10771.3931349865","11407.623172873","12135.1973458526","12979.4193028097","13892.2541391325","14455.976657272","15165.7887426022","15975.0127168731","16099.4544426724","16717.4430474246","18312.3801999631"
"Upper Interval","23912.2068650135","24813.776827127","25952.0026541474","27444.5806971903","29057.9458608675","30113.423342728","31180.8112573978","32291.9872831269","32821.9455573276","34594.1569525754","38709.0198000369"
"Recruits","1723.83","8525.02","2685.54","1991.93","1926.21","1675.05","1403.36","2568.71","2568.71","2568.71","2568.71"
"Lower Interval","501.885212719353","4232.35448287142","663.521220638305","580.924630343204","585.215163418843","509.161166815711","423.189227360463","1941.04010710401","1941.04010710401","1941.04010710401","1941.04010710401"
"Upper Interval","5920.8555932523","17171.5215005085","10869.4716420101","6830.12032482747","6340.03559037058","5510.61763026313","4653.75572503053","3399.34813296798","3399.34813296798","3399.34813296798","3399.34813296798"
"Fraction Unfished","0.184816","0.19301","0.202952","0.215405","0.228865","0.237493","0.246963","0.257196","0.260683","0.273419","0.303845"
"Lower Interval","0.122930333184546","0.129831932933141","0.1378394484804","0.147209621129116","0.157229100350655","0.163384801780556","0.170842702754027","0.179301347358823","0.181123749946753","0.188844398106714","0.207451227290742"
"Upper Interval","0.246701666815454","0.256188067066859","0.268064551519601","0.283600378870884","0.300500899649345","0.311601198219444","0.323083297245973","0.335090652641177","0.340242250053247","0.357993601893286","0.400238772709258"
