"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1977,2116.42,2210.91,1902.94,1637.88,1409.74,1213.37,1044.36,898.887,773.679,665.912,573.156,493.32,424.604,365.46,314.555,270.74,233.028,200.569,172.631,148.585,127.888,110.075,94.742,81.5452,70.1866,60.4102,51.9955,44.753,38.5192,33.1538,28.5357,24.5609,21.1398,18.1952,15.6607,13.4793,11.6018,9.98573,8.5948,7.39761,45.7111
1978,2123.16,1821.62,1902.94,1637.88,1409.74,1213.37,1044.36,898.887,773.679,665.912,573.156,493.32,424.604,365.46,314.555,270.74,233.028,200.569,172.631,148.585,127.888,110.075,94.742,81.5452,70.1866,60.4102,51.9955,44.753,38.5192,33.1538,28.5357,24.5609,21.1398,18.1952,15.6607,13.4793,11.6018,9.98573,8.5948,7.39761,45.7111
1979,2143.58,1827.42,1567.87,1637.86,1409.69,1213.28,1044.19,898.676,773.464,665.715,572.982,493.17,424.475,365.349,314.458,270.657,232.957,200.508,172.578,148.54,127.849,110.041,94.7131,81.5203,70.1652,60.3917,51.9796,44.7393,38.5075,33.1437,28.527,24.5534,21.1333,18.1896,15.656,13.4752,11.5982,9.98268,8.59218,7.39535,45.6971
1980,2185.33,1844.99,1572.86,1349.45,1409.61,1213.09,1043.84,898.188,772.929,665.206,572.529,492.774,424.133,365.054,314.205,270.439,232.769,200.346,172.439,148.42,127.746,109.952,94.6367,81.4546,70.1086,60.343,51.9377,44.7032,38.4764,33.117,28.504,24.5336,21.1163,18.175,15.6433,13.4644,11.5889,9.97464,8.58525,7.38939,45.6603
1981,2264.34,1880.91,1587.94,1353.62,1161.11,1212.25,1042.34,896.162,770.748,663.135,570.677,491.159,422.737,363.851,313.169,269.547,232.001,199.685,171.87,147.93,127.325,109.589,94.3245,81.1859,69.8773,60.144,51.7664,44.5557,38.3495,33.0077,28.41,24.4527,21.0466,18.115,15.5917,13.4199,11.5506,9.94173,8.55693,7.36502,45.5096
1982,2400.92,1948.92,1618.87,1366.63,1164.77,998.699,1041.96,895.301,769.449,661.667,569.254,489.877,421.615,362.88,312.332,268.826,231.38,199.151,171.411,147.535,126.984,109.296,94.0722,80.9687,69.6904,59.9831,51.6279,44.4366,38.2469,32.9194,28.334,24.3873,20.9904,18.0666,15.55,13.384,11.5198,9.91514,8.53404,7.34532,45.3879
1983,2566.98,2066.47,1677.4,1393.25,1175.95,1001.82,858.344,894.882,768.618,660.468,567.92,488.591,420.459,361.87,311.458,268.072,230.732,198.592,170.93,147.121,126.628,108.99,93.8083,80.7416,69.4949,59.8148,51.4831,44.3119,38.1396,32.8271,28.2545,24.3189,20.9315,18.0159,15.5064,13.3465,11.4874,9.88733,8.5101,7.32471,45.2606
1984,2676.9,2209.34,1778.41,1443.21,1197.86,1009.25,857.231,732.338,762.269,654.288,562.099,483.299,415.781,357.799,307.941,265.041,228.122,196.346,168.996,145.456,125.195,107.757,92.747,79.8281,68.7087,59.1381,50.9006,43.8106,37.7081,32.4557,27.9349,24.0438,20.6947,17.8121,15.331,13.1955,11.3575,9.77546,8.41382,7.24184,44.7485
1985,2804.67,2303.87,1901.17,1529.65,1239.69,1025.64,859.455,726.166,618.533,643.049,551.731,473.929,407.472,350.543,301.657,259.622,223.453,192.327,165.537,142.479,122.633,105.551,90.8484,78.194,67.3022,57.9275,49.8587,42.9138,36.9362,31.7913,27.363,23.5516,20.271,17.4474,15.0171,12.9254,11.125,9.57535,8.24158,7.0936,43.8325
1986,3181.83,2413.68,1982.12,1634.22,1311.54,1056.4,864.936,717.521,602.814,512.3,532.189,456.498,392.093,337.103,290.002,249.559,214.783,184.861,159.11,136.947,117.872,101.453,87.3214,75.1582,64.6892,55.6786,47.923,41.2477,35.5022,30.557,26.3007,22.6372,19.484,16.7701,14.4341,12.4236,10.6931,9.2036,7.92161,6.8182,42.1307
